Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2024,Aceh,Kab. Aceh Selatan,"34,527.10",7.67,0.02,"12,775.00",37,"12,782.67",37.02,0,,0,P 1
2024,Aceh,Kab. Aceh Tenggara,"54,634.66",25.55,0.05,"8,413.25",15.4,"8,438.80",15.45,,365,0.67,P 1
2024,Aceh,Kab. Aceh Timur,"66,389.56","1,066.26",1.61,"28,477.30",42.89,"29,543.56",44.5,857.75,,1.29,P 1
2024,Aceh,Kab. Aceh Tengah,"41,273.39","1,095.00",2.65,"22,995.00",55.71,"24,090.00",58.37,"1,095.00",,2.65,P 1
2024,Aceh,Kab. Aceh Barat,"37,432.21","1,537.49",4.11,"28,415.25",75.91,"29,952.74",80.02,"1,423.50",,3.8,P 1
2024,Aceh,Kab. Aceh Besar,"54,434.93","1,322.81",2.43,"36,317.50",66.72,"37,640.31",69.15,"1,198.44",,2.2,P 1
2024,Aceh,Kab. Pidie,"65,420.41",,,"14,783.50",22.6,"14,783.50",22.6,,,0,P 1
2024,Aceh,Kab. Aceh Utara,"112,171.80","1,225.32",1.09,"18,067.50",16.11,"19,292.82",17.2,"1,212.68",,1.08,P 1
2024,Aceh,Kab. Simeulue,"16,673.93",767.7,4.6,"6,577.30",39.45,"7,345.00",44.05,767.7,,4.6,P 1
2024,Aceh,Kab. Aceh Singkil,"20,039.08",797.53,3.98,"2,555.00",12.75,"3,352.53",16.73,797.53,,3.98,P 1
2024,Aceh,Kab. Bireuen,"59,046.49","10,113.35",17.13,"27,615.90",46.77,"37,729.25",63.9,"10,113.35",,17.13,P 1
2024,Aceh,Kab. Aceh Barat Daya,"29,210.59","2,141.46",7.33,"6,935.00",23.74,"9,076.46",31.07,"2,140.73",,7.33,P 1
2024,Aceh,Kab. Gayo Lues,"15,308.98",458.07,2.99,"10,950.00",71.53,"11,408.07",74.52,456.25,,2.98,P 1
2024,Aceh,Kab. Aceh Jaya,"18,373.01",322.66,1.76,"11,639.85",63.35,"11,962.51",65.11,322.66,,1.76,P 1
2024,Aceh,Kab. Nagan Raya,"25,763.31","4,479.37",17.39,"12,942.90",50.24,"17,422.27",67.62,"4,386.57",,17.03,P 1
2024,Aceh,Kab. Aceh Tamiang,"45,127.58","1,978.09",4.38,"9,409.70",20.85,"11,387.79",25.23,"1,885.92",0,4.18,P 1
2024,Aceh,Kab. Bener Meriah,"23,371.68",18.61,0.08,"14,600.00",62.47,"14,618.61",62.55,1.83,,0.01,P 1
2024,Aceh,Kab. Pidie Jaya,"30,143.46",0,0,"5,840.00",19.37,"5,840.00",19.37,,,0,P 1
2024,Aceh,Kota Banda Aceh,"94,679.61","15,501.03",16.37,"76,476.51",80.77,"91,977.55",97.15,"15,383.05",,16.25,P 1
2024,Aceh,Kota Sabang,"6,354.94",0,0,"4,657.40",73.29,"4,657.40",73.29,,,0,P 1
2024,Aceh,Kota Lhokseumawe,"36,509.25",401.5,1.1,"28,105.00",76.98,"28,506.50",78.08,401.5,,1.1,P 1
2024,Aceh,Kota Langsa,"35,538.23","3,244.97",9.13,"25,452.55",71.62,"28,697.51",80.75,283.92,734.38,2.87,P 1
2024,Aceh,Kota Subulussalam,"17,843.03",91.25,0.51,"12,775.00",71.6,"12,866.25",72.11,91.25,,0.51,P 1
2024,Sumatera Utara,Kab. Nias,"21,446.67",3.65,0.02,,,3.65,0.02,3.65,,0.02,P 1
2024,Sumatera Utara,Kab. Langkat,"194,674.76","1,272.02",0.65,"32,587.56",16.74,"33,859.58",17.39,"1,272.02",204.4,0.76,P 1
2024,Sumatera Utara,Kab. Simalungun,"189,055.40",573.05,0.3,"49,289.60",26.07,"49,862.65",26.37,124.1,14.6,0.07,P 1
2024,Sumatera Utara,Kab. Dairi,"48,265.41",0,0,"9,709.00",20.12,"9,709.00",20.12,,73,0.15,P 1
2024,Sumatera Utara,Kab. Pakpak Bharat,"8,055.11",56.37,0.7,"3,387.20",42.05,"3,443.57",42.75,27.33,,0.34,P 1
2024,Sumatera Utara,Kota Medan,"632,149.41","95,451.46",15.1,"506,479.12",80.12,"601,930.58",95.22,"93,545.46",,14.8,P 1
2024,Sumatera Barat,Kab. Pesisir Selatan,"57,526.37","10,681.27",18.57,"13,440.76",23.36,"24,122.03",41.93,"7,444.07",227.76,13.34,P 1
2024,Sumatera Barat,Kab. Solok,"59,233.95","7,925.63",13.38,"8,526.40",14.39,"16,452.03",27.77,"7,351.55",,12.41,P 1
2024,Sumatera Barat,Kab. Tanah Datar,"47,943.05","9,799.76",20.44,"17,255.01",35.99,"27,054.77",56.43,"9,580.28",587.65,21.21,P 1
2024,Sumatera Barat,Kab. Padang Pariaman,"83,798.34","1,172.32",1.4,"19,031.10",22.71,"20,203.42",24.11,431.59,,0.52,P 1
2024,Sumatera Barat,Kab. Agam,"78,067.22","11,501.06",14.73,"24,633.85",31.55,"36,134.91",46.29,"11,391.71",,14.59,P 1
2024,Sumatera Barat,Kab. Lima Puluh Kota,"58,558.56","10,873.94",18.57,"3,650.00",6.23,"14,523.94",24.8,"10,786.08",,18.42,P 1
2024,Sumatera Barat,Kab. Solok Selatan,"27,964.84","3,973.57",14.21,"4,354.45",15.57,"8,328.02",29.78,"3,685.41",,13.18,P 1
2024,Sumatera Barat,Kota Padang,"240,920.66","52,792.47",21.91,"179,813.60",74.64,"232,606.07",96.55,"36,084.30",233.6,15.07,P 1
2024,Sumatera Barat,Kota Solok,"21,438.24","2,394.02",11.17,"18,958.10",88.43,"21,352.12",99.6,"2,299.13",88.33,11.14,P 1
2024,Sumatera Barat,Kota Sawahlunto,"6,988.44","1,829.74",26.18,"5,102.70",73.02,"6,932.44",99.2,"1,462.87",21.9,21.25,P 1
2024,Sumatera Barat,Kota Padang Panjang,"18,317.45","3,047.41",16.64,"15,142.08",82.66,"18,189.49",99.3,"2,032.81",,11.1,P 1
2024,Sumatera Barat,Kota Bukittinggi,"48,542.31","6,448.91",13.29,"38,971.05",80.28,"45,419.96",93.57,"4,918.30","2,518.50",15.32,P 1
2024,Sumatera Barat,Kota Payakumbuh,"34,285.94","5,277.89",15.39,"27,188.85",79.3,"32,466.74",94.69,"5,227.11",,15.25,P 1
2024,Sumatera Barat,Kota Pariaman,"14,845.28","1,599.18",10.77,"11,169.00",75.24,"12,768.18",86.01,"1,599.18",,10.77,P 1
2024,Riau,Kab. Bengkalis,"95,314.82","9,753.48",10.23,"64,718.86",67.9,"74,472.34",78.13,"9,471.20",50.92,9.99,P 1
2024,Riau,Kab. Rokan Hulu,"103,202.06","7,203.04",6.98,"22,841.70",22.13,"30,044.74",29.11,"7,063.76",,6.84,P 1
2024,Riau,Kab. Siak,"70,104.67","10,130.89",14.45,"30,035.85",42.84,"40,166.74",57.3,"9,694.83",73,13.93,P 1
2024,Riau,Kab. Kuantan Singingi,"52,644.83","7,749.88",14.72,"13,118.28",24.92,"20,868.17",39.64,"7,663.98",51.28,14.66,P 1
2024,Riau,Kota Pekanbaru,"369,019.82","11,970.19",3.24,"233,377.36",63.24,"245,347.54",66.49,"10,996.86",,2.98,P 1
2024,Riau,Kota Dumai,"62,696.60","7,262.13",11.58,"42,705.00",68.11,"49,967.13",79.7,"7,248.54",,11.56,P 1
2024,Jambi,Kab. Tebo,"52,990.12","1,272.26",2.4,"11,621.60",21.93,"12,893.86",24.33,"1,269.83",,2.4,P 1
