Tahun,Provinsi,Kabupaten/Kota,Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%)
2024,Aceh,Kab. Aceh Selatan,30.08,12.29,13.10,16.33,6.40,5.42,3.43,5.35,7.60
2024,Aceh,Kab. Aceh Tenggara,41.00,7.00,10.00,18.00,2.00,4.00,16.00,2.00,
2024,Aceh,Kab. Aceh Timur,25.00,21.00,9.00,14.00,6.00,5.00,7.00,8.00,5.00
2024,Aceh,Kab. Aceh Tengah,22.00,18.00,7.00,26.00,3.00,11.00,5.00,5.00,3.00
2024,Aceh,Kab. Aceh Barat,57.00,3.30,6.00,24.00,4.00,3.00,1.00,1.20,0.50
2024,Aceh,Kab. Aceh Besar,25.50,25.50,9.50,21.60,5.10,3.30,3.30,3.70,2.50
2024,Aceh,Kab. Pidie,8.50,7.50,19.30,35.70,4.00,1.00,3.00,2.00,19.00
2024,Aceh,Kab. Aceh Utara,30.00,10.00,10.00,40.00,5.00,2.00,1.00,1.00,1.00
2024,Aceh,Kab. Simeulue,22.80,15.30,12.10,26.20,10.20,3.60,2.80,2.00,5.00
2024,Aceh,Kab. Aceh Singkil,30.00,10.00,15.00,22.00,2.00,5.00,3.00,2.00,11.00
2024,Aceh,Kab. Bireuen,42.70,9.90,14.20,18.90,2.60,2.10,2.20,2.30,5.10
2024,Aceh,Kab. Aceh Barat Daya,20.00,2.00,25.00,30.00,11.00,2.00,3.00,1.00,6.00
2024,Aceh,Kab. Gayo Lues,26.00,21.00,10.00,30.00,4.00,2.00,1.00,1.00,5.00
2024,Aceh,Kab. Aceh Jaya,48.00,14.00,10.00,14.00,9.00,2.00,1.00,1.00,1.00
2024,Aceh,Kab. Nagan Raya,43.00,8.00,4.00,35.00,1.00,2.00,2.00,2.00,3.00
2024,Aceh,Kab. Aceh Tamiang,52.51,8.22,7.32,18.25,1.23,2.73,6.31,1.09,2.34
2024,Aceh,Kab. Bener Meriah,19.00,27.00,20.00,18.00,5.00,3.00,3.00,4.00,1.00
2024,Aceh,Kab. Pidie Jaya,20.00,27.00,14.00,26.00,2.50,3.00,3.00,2.50,2.00
2024,Aceh,Kota Banda Aceh,29.48,23.59,6.34,25.75,0.49,1.87,0.19,1.47,10.82
2024,Aceh,Kota Sabang,20.00,10.00,5.00,20.00,10.00,5.00,5.00,15.00,10.00
2024,Aceh,Kota Lhokseumawe,53.75,2.26,14.91,14.02,2.00,0.11,0.60,2.45,9.90
2024,Aceh,Kota Langsa,22.00,20.00,9.00,15.00,7.00,10.00,7.00,8.00,2.00
2024,Aceh,Kota Subulussalam,26.00,20.00,10.00,15.00,2.00,5.00,5.00,2.00,15.00
2024,Sumatera Utara,Kab. Nias,39.69,12.90,12.08,17.89,3.26,2.49,1.75,2.36,7.58
2024,Sumatera Utara,Kab. Langkat,38.00,30.00,24.00,7.00,0.20,0.20,0.10,0.10,0.10
2024,Sumatera Utara,Kab. Simalungun,5.50,1.93,15.44,45.46,0.37,7.70,4.50,8.60,10.50
2024,Sumatera Utara,Kab. Dairi,52.79,10.99,12.48,22.00,0.32,0.35,0.20,0.53,0.34
2024,Sumatera Utara,Kab. Pakpak Bharat,39.90,6.00,12.10,26.00,5.00,2.00,1.00,5.00,3.00
2024,Sumatera Utara,Kota Medan,,,,,,,,,
2024,Sumatera Barat,Kab. Pesisir Selatan,20.40,19.60,23.00,19.00,16.00,0.42,1.58,,
2024,Sumatera Barat,Kab. Solok,29.00,20.00,12.00,22.00,2.00,2.00,2.00,2.00,9.00
2024,Sumatera Barat,Kab. Tanah Datar,69.34,,8.63,6.00,2.24,1.57,,3.33,8.89
2024,Sumatera Barat,Kab. Padang Pariaman,31.82,0.46,12.78,43.77,,0.78,2.07,0.50,7.82
2024,Sumatera Barat,Kab. Agam,70.44,4.02,6.08,8.15,1.90,0.28,0.10,0.55,8.48
2024,Sumatera Barat,Kab. Lima Puluh Kota,,,,,,,,,
2024,Sumatera Barat,Kab. Solok Selatan,34.35,0.78,16.35,25.69,0.13,0.59,0.55,2.31,19.25
2024,Sumatera Barat,Kota Padang,63.00,6.64,6.00,12.40,0.16,3.00,1.50,2.40,4.90
2024,Sumatera Barat,Kota Solok,45.73,11.12,16.88,20.72,1.78,0.35,0.14,0.81,2.47
2024,Sumatera Barat,Kota Sawahlunto,46.00,10.00,11.00,14.00,3.00,5.00,4.00,5.00,2.00
2024,Sumatera Barat,Kota Padang Panjang,,,,,,,,,
2024,Sumatera Barat,Kota Bukittinggi,,,,,,,,,
2024,Sumatera Barat,Kota Payakumbuh,48.25,0.94,15.45,17.47,2.01,1.17,0.45,0.89,2.55
2024,Sumatera Barat,Kota Pariaman,,,,,,,,,
2024,Riau,Kab. Bengkalis,16.14,10.96,6.79,9.47,1.05,4.78,5.12,13.11,32.58
2024,Riau,Kab. Rokan Hulu,40.18,10.25,7.52,16.31,7.85,1.52,2.67,1.18,12.52
2024,Riau,Kab. Siak,39.00,15.00,10.00,26.00,1.00,2.00,2.00,3.00,2.00
2024,Riau,Kab. Kuantan Singingi,25.00,34.00,5.00,10.00,15.00,0.50,0.50,8.00,
2024,Riau,Kota Pekanbaru,,,,,,,,,
2024,Riau,Kota Dumai,48.97,7.50,5.30,8.95,2.27,3.72,2.50,2.79,18.00
2024,Jambi,Kab. Tebo,62.44,4.60,14.30,5.86,1.70,1.30,4.60,1.00,4.20
2024,Jambi,Kota Jambi,36.65,21.31,9.44,18.99,2.06,10.82,0.30,0.28,0.14
2024,Jambi,Kota Sungai Penuh,,,,,,,,,
2024,Sumatera Selatan,Kab. Ogan Komering Ulu,35.00,25.00,10.00,15.00,7.00,3.00,2.00,3.00,
2024,Sumatera Selatan,Kab. Muara Enim,61.02,8.07,7.38,17.18,1.14,1.33,0.36,0.31,3.21
2024,Sumatera Selatan,Kab. Lahat,60.00,10.10,2.00,14.00,1.74,5.50,0.26,0.90,5.50
2024,Sumatera Selatan,Kab. Musi Banyuasin,10.00,40.00,10.00,10.00,10.00,5.00,5.00,5.00,5.00
2024,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,12.00,9.00,22.00,27.00,3.00,5.00,3.00,2.00,17.00
2024,Sumatera Selatan,Kab. Ogan Ilir,53.63,0.76,5.75,21.63,0.82,1.94,1.82,1.99,11.66
2024,Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,54.33,1.26,10.86,21.70,0.37,2.12,0.53,1.68,7.15
2024,Sumatera Selatan,Kab. Musi Rawas Utara,42.00,6.00,11.00,16.00,5.00,5.00,8.00,4.00,3.00
2024,Sumatera Selatan,Kota Pagar Alam,41.91,11.41,6.17,23.51,2.20,4.61,2.70,1.20,6.29
2024,Sumatera Selatan,Kota Prabumulih,40.88,1.44,11.02,39.72,4.00,0.04,0.09,2.80,0.01
2024,Bengkulu,Kab. Bengkulu Utara,38.60,15.70,11.20,28.85,0.50,2.05,0.40,0.20,2.50
2024,Bengkulu,Kab. Seluma,78.00,7.00,5.00,2.00,0.50,3.00,,0.50,4.00
2024,Bengkulu,Kab. Lebong,64.45,8.58,8.56,12.84,0.20,0.89,1.60,0.73,2.10
2024,Bengkulu,Kab. Bengkulu Tengah,,,,,,,,,
2024,Bengkulu,Kota Bengkulu,65.00,3.00,13.00,11.00,1.00,1.00,1.00,1.00,4.00
2024,Lampung,Kab. Lampung Utara,,,,,,,,,
2024,Lampung,Kab. Tulang Bawang,69.00,15.00,5.00,5.00,,1.00,,,5.00
2024,Lampung,Kab. Tanggamus,51.00,25.00,3.00,12.00,4.00,1.00,1.00,3.00,
2024,Lampung,Kab. Lampung Timur,69.68,2.29,12.51,14.52,0.02,0.03,,0.05,0.90
2024,Lampung,Kab. Way Kanan,0.61,0.17,0.04,0.09,0.05,0.02,0.02,0.01,0.00
2024,Lampung,Kab. Pesawaran,33.00,18.00,10.00,17.00,12.00,2.00,7.00,0.50,0.50
2024,Lampung,Kab. Pringsewu,50.00,13.00,5.00,20.00,1.75,3.00,1.00,0.25,6.00
2024,Lampung,Kab. Pesisir Barat,42.50,19.20,9.50,21.10,0.60,2.00,0.90,1.20,3.00
2024,Kepulauan Bangka Belitung,Kab. Bangka,39.85,13.96,12.07,16.97,3.37,2.69,1.98,2.31,6.80
2024,Kepulauan Bangka Belitung,Kab. Bangka Tengah,41.90,8.50,3.80,14.30,3.90,4.90,,5.50,17.20
2024,Kepulauan Bangka Belitung,Kab. Bangka Barat,40.00,6.00,24.00,17.00,1.10,1.50,3.50,2.60,4.30
2024,Kepulauan Bangka Belitung,Kab. Belitung Timur,57.00,,5.00,17.00,2.00,2.00,2.00,1.00,14.00
2024,Kepulauan Riau,Kab. Bintan,,,,,,,,,
2024,Kepulauan Riau,Kab. Karimun,40.80,11.50,11.00,19.20,3.40,2.70,2.30,2.50,6.60
2024,Kepulauan Riau,Kab. Kepulauan Anambas,,,,,,,,,
2024,Kepulauan Riau,Kota Tanjung Pinang,59.05,0.22,9.72,28.11,0.32,0.10,1.05,1.43,
2024,DKI Jakarta,Kab. Adm. Kep. Seribu,,,,,,,,,
2024,DKI Jakarta,Kota Adm. Jakarta Pusat,,,,,,,,,
2024,DKI Jakarta,Kota Adm. Jakarta Utara,,,,,,,,,
2024,DKI Jakarta,Kota Adm. Jakarta Barat,,,,,,,,,
2024,DKI Jakarta,Kota Adm. Jakarta Selatan,49.87,3.18,17.24,22.95,1.08,0.90,0.70,1.48,2.60
2024,DKI Jakarta,Kota Adm. Jakarta Timur,,,,,,,,,
2024,Jawa Barat,Kab. Bogor,,,,,,,,,
2024,Jawa Barat,Kab. Cianjur,61.05,1.04,6.94,14.39,0.26,2.10,0.50,1.48,12.24
2024,Jawa Barat,Kab. Bandung,,,,,,,,,
2024,Jawa Barat,Kab. Garut,59.30,,6.30,20.50,1.00,2.60,,3.40,6.90
2024,Jawa Barat,Kab. Tasikmalaya,12.01,41.75,6.15,15.89,0.37,2.94,1.99,2.14,16.76
2024,Jawa Barat,Kab. Ciamis,38.00,0.40,16.00,20.00,10.00,4.00,1.00,10.20,0.40
2024,Jawa Barat,Kab. Cirebon,,,,,,,,,
2024,Jawa Barat,Kab. Sumedang,30.00,7.50,10.50,27.50,3.00,4.50,2.50,6.50,8.00
2024,Jawa Barat,Kab. Indramayu,27.58,33.22,8.47,13.78,0.16,1.49,0.21,1.30,13.79
2024,Jawa Barat,Kab. Purwakarta,59.03,0.21,7.53,16.65,1.44,1.01,0.85,1.23,12.05
2024,Jawa Barat,Kab. Karawang,43.80,,3.00,20.00,0.70,,,2.30,30.20
2024,Jawa Barat,Kab. Bekasi,,,,,,,,,
2024,Jawa Barat,Kota Bogor,40.00,14.00,20.00,15.00,1.00,2.50,0.50,1.00,6.00
2024,Jawa Barat,Kota Bandung,44.52,3.98,13.12,16.70,0.90,4.75,2.38,1.97,11.68
2024,Jawa Barat,Kota Cirebon,49.22,11.76,5.56,19.01,0.71,1.76,0.58,1.43,9.97
2024,Jawa Barat,Kota Cimahi,17.00,25.00,19.00,22.00,2.00,1.00,,1.00,13.00
2024,Jawa Barat,Kota Tasikmalaya,,,,,,,,,
2024,Jawa Tengah,Kab. Banyumas,36.00,6.00,6.00,30.00,9.00,5.00,3.00,5.00,
2024,Jawa Tengah,Kab. Banjarnegara,20.00,2.00,15.00,35.00,5.00,5.00,6.00,2.00,10.00
2024,Jawa Tengah,Kab. Wonosobo,60.93,10.50,13.57,8.11,2.50,1.00,0.31,0.74,2.34
2024,Jawa Tengah,Kab. Magelang,45.41,6.71,4.43,24.87,0.61,2.15,0.68,1.32,13.82
2024,Jawa Tengah,Kab. Boyolali,23.39,35.86,13.27,16.11,9.41,0.43,0.46,1.03,0.04
2024,Jawa Tengah,Kab. Sukoharjo,52.55,0.42,13.33,23.79,0.89,1.19,0.33,1.03,6.47
