Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2024,Aceh,Kab. Aceh Selatan,1.10,0.95,6.00,5.65,5.95,0.40,
2024,Aceh,Kab. Aceh Tenggara,20.00,14.00,25.00,8.00,8.00,17.00,
2024,Aceh,Kab. Aceh Timur,18.00,5.00,12.00,9.00,5.00,2.00,
2024,Aceh,Kab. Aceh Tengah,16.00,7.00,18.00,11.00,10.00,8.00,30.00
2024,Aceh,Kab. Aceh Barat,56.65,5.50,21.60,10.65,2.95,2.80,2.40
2024,Aceh,Kab. Aceh Besar,48.20,2.70,19.60,12.10,4.30,7.80,5.30
2024,Aceh,Kab. Pidie,6.08,4.05,24.30,,2.43,,3.65
2024,Aceh,Kab. Aceh Utara,150.00,2.00,112.00,20.32,10.00,10.00,3.00
2024,Aceh,Kab. Simeulue,13.70,5.48,11.42,8.68,3.20,1.83,1.37
2024,Aceh,Kab. Aceh Singkil,34.00,0.30,12.00,5.00,0.60,2.00,1.00
2024,Aceh,Kab. Bireuen,,,,,,,
2024,Aceh,Kab. Aceh Barat Daya,25.00,15.00,30.00,10.00,10.00,5.00,5.00
2024,Aceh,Kab. Gayo Lues,13.00,4.00,7.00,3.00,2.00,,1.00
2024,Aceh,Kab. Aceh Jaya,18.00,4.00,14.00,6.00,5.00,3.00,0.34
2024,Aceh,Kab. Nagan Raya,16.50,0.50,8.50,6.00,1.20,1.50,1.26
2024,Aceh,Kab. Aceh Tamiang,3.25,2.20,12.87,5.32,4.04,4.39,
2024,Aceh,Kab. Bener Meriah,35.97,0.18,5.95,19.06,2.41,0.81,1.50
2024,Aceh,Kab. Pidie Jaya,16.00,7.00,23.00,27.00,8.00,9.70,9.30
2024,Aceh,Kota Banda Aceh,76.50,0.23,3.72,15.69,2.85,,1.01
2024,Aceh,Kota Sabang,7.00,3.00,0.50,4.50,0.50,2.00,2.00
2024,Aceh,Kota Lhokseumawe,58.00,13.00,11.80,3.40,6.60,3.20,4.00
2024,Aceh,Kota Langsa,20.00,4.00,15.00,12.00,8.70,2.10,
2024,Aceh,Kota Subulussalam,15.00,0.50,15.00,2.00,2.00,5.00,0.50
2024,Sumatera Utara,Kab. Nias,7.40,0.50,1.00,0.49,0.50,0.50,0.50
2024,Sumatera Utara,Kab. Langkat,8.50,5.40,8.00,6.80,3.90,1.90,2.80
2024,Sumatera Utara,Kab. Simalungun,254.10,50.80,138.25,12.10,79.30,13.80,45.80
2024,Sumatera Utara,Kab. Dairi,50.00,10.00,23.00,10.00,14.00,10.00,10.00
2024,Sumatera Utara,Kab. Pakpak Bharat,3.69,0.12,1.04,1.02,1.32,0.32,0.20
2024,Sumatera Utara,Kota Medan,,,,,,,
2024,Sumatera Barat,Kab. Pesisir Selatan,86.10,16.00,28.30,1.50,18.00,3.60,
2024,Sumatera Barat,Kab. Solok,8.36,1.00,5.00,3.00,2.00,2.00,2.00
2024,Sumatera Barat,Kab. Tanah Datar,88.60,0.28,17.75,1.54,12.27,,
2024,Sumatera Barat,Kab. Padang Pariaman,15.00,12.00,30.00,,,3.00,12.00
2024,Sumatera Barat,Kab. Agam,,,,,,,
2024,Sumatera Barat,Kab. Lima Puluh Kota,,,,,,,
2024,Sumatera Barat,Kab. Solok Selatan,65.45,0.23,2.35,6.02,2.45,0.05,0.07
2024,Sumatera Barat,Kota Padang,462.00,20.00,100.00,20.00,43.00,7.00,8.00
2024,Sumatera Barat,Kota Solok,47.63,0.93,7.15,2.29,0.26,0.05,0.42
2024,Sumatera Barat,Kota Sawahlunto,,,,,,,
2024,Sumatera Barat,Kota Padang Panjang,,,,,,,
2024,Sumatera Barat,Kota Bukittinggi,59.03,0.48,32.18,1.34,6.96,,0.01
2024,Sumatera Barat,Kota Payakumbuh,67.41,0.41,7.27,1.45,2.75,9.58,4.45
2024,Sumatera Barat,Kota Pariaman,,,,,,,
2024,Riau,Kab. Bengkalis,43.75,12.50,17.50,5.00,11.25,7.50,2.50
2024,Riau,Kab. Rokan Hulu,,,,,,,
2024,Riau,Kab. Siak,17.50,5.00,7.00,2.00,4.50,3.00,1.00
2024,Riau,Kab. Kuantan Singingi,25.00,5.90,8.50,6.00,5.90,5.90,
2024,Riau,Kota Pekanbaru,,,,,,,
2024,Riau,Kota Dumai,133.00,6.05,14.33,22.78,0.20,10.00,0.00
2024,Jambi,Kab. Tebo,17.71,1.32,69.91,1.58,0.60,3.18,49.65
2024,Jambi,Kota Jambi,57.66,11.78,7.11,14.00,4.33,4.33,0.78
2024,Jambi,Kota Sungai Penuh,,,,,,,
2024,Sumatera Selatan,Kab. Ogan Komering Ulu,51.85,0.50,2.80,0.20,0.15,1.50,
2024,Sumatera Selatan,Kab. Muara Enim,66.88,23.76,53.94,3.88,0.11,0.12,
2024,Sumatera Selatan,Kab. Lahat,46.69,3.41,5.06,5.66,7.82,,3.47
2024,Sumatera Selatan,Kab. Musi Banyuasin,5.00,0.10,15.00,0.20,4.00,5.00,
2024,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,8.59,0.18,18.76,10.01,0.77,0.09,2.30
2024,Sumatera Selatan,Kab. Ogan Ilir,131.84,3.16,21.09,14.06,1.23,4.39,0.02
2024,Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,28.00,1.00,8.00,1.50,2.00,0.50,1.00
2024,Sumatera Selatan,Kab. Musi Rawas Utara,57.50,15.20,28.20,7.10,11.10,13.00,4.00
2024,Sumatera Selatan,Kota Pagar Alam,23.31,3.80,10.00,0.50,5.00,0.50,0.80
2024,Sumatera Selatan,Kota Prabumulih,63.03,8.13,10.17,10.17,0.51,9.15,0.51
2024,Bengkulu,Kab. Bengkulu Utara,7.69,0.20,1.23,0.15,0.56,0.31,0.10
2024,Bengkulu,Kab. Seluma,,,,,,,
2024,Bengkulu,Kab. Lebong,51.71,2.39,11.93,6.36,3.99,1.59,1.59
2024,Bengkulu,Kab. Bengkulu Tengah,,,,,,,
2024,Bengkulu,Kota Bengkulu,45.00,10.00,70.00,60.00,23.00,45.00,20.02
2024,Lampung,Kab. Lampung Utara,,,,,,,
2024,Lampung,Kab. Tulang Bawang,20.00,2.00,10.00,1.00,1.00,,2.00
2024,Lampung,Kab. Tanggamus,97.79,0.78,,,0.54,,0.89
2024,Lampung,Kab. Lampung Timur,12.50,3.40,75.50,5.60,,,3.00
2024,Lampung,Kab. Way Kanan,93.00,0.60,2.70,0.20,0.00,0.00,5.30
2024,Lampung,Kab. Pesawaran,48.30,0.41,16.30,0.40,1.50,,
2024,Lampung,Kab. Pringsewu,,,,,,,
2024,Lampung,Kab. Pesisir Barat,,,,,,,
2024,Kepulauan Bangka Belitung,Kab. Bangka,79.79,6.62,17.57,9.92,3.84,5.10,7.65
2024,Kepulauan Bangka Belitung,Kab. Bangka Tengah,20755.38,830.22,6226.61,1660.43,2905.75,8302.15,830.22
2024,Kepulauan Bangka Belitung,Kab. Bangka Barat,80.00,1.77,0.30,0.27,0.29,2.00,
2024,Kepulauan Bangka Belitung,Kab. Belitung Timur,,,,,,,
2024,Kepulauan Riau,Kab. Bintan,,,,,,,
2024,Kepulauan Riau,Kab. Karimun,77.46,5.81,19.37,13.56,38.73,38.72,0.01
2024,Kepulauan Riau,Kab. Kepulauan Anambas,,,,,,,
2024,Kepulauan Riau,Kota Tanjung Pinang,,,,,,,
2024,DKI Jakarta,Kab. Adm. Kep. Seribu,,,,,,,
2024,DKI Jakarta,Kota Adm. Jakarta Pusat,,,,,,,
2024,DKI Jakarta,Kota Adm. Jakarta Utara,,,,,,,
2024,DKI Jakarta,Kota Adm. Jakarta Barat,,,,,,,
2024,DKI Jakarta,Kota Adm. Jakarta Selatan,,,,,,,
2024,DKI Jakarta,Kota Adm. Jakarta Timur,,,,,,,
2024,Jawa Barat,Kab. Bogor,,,,,,,
2024,Jawa Barat,Kab. Cianjur,828.63,109.09,21.39,12.30,32.91,62.87,978.00
2024,Jawa Barat,Kab. Bandung,,,,,,,
2024,Jawa Barat,Kab. Garut,,,,,,,
2024,Jawa Barat,Kab. Tasikmalaya,406.20,60.00,260.00,106.00,11.00,60.00,28.00
2024,Jawa Barat,Kab. Ciamis,245.50,20.04,85.17,85.17,25.05,20.04,20.04
2024,Jawa Barat,Kab. Cirebon,,,,,,,
2024,Jawa Barat,Kab. Sumedang,109.88,,24.01,1.41,0.83,6.28,
2024,Jawa Barat,Kab. Indramayu,954.67,13.64,85.24,23.87,19.32,18.18,21.59
2024,Jawa Barat,Kab. Purwakarta,139.00,3.00,13.00,3.00,2.00,3.00,
2024,Jawa Barat,Kab. Karawang,,,,,,,
2024,Jawa Barat,Kab. Bekasi,711.99,,163.06,,,,31.00
2024,Jawa Barat,Kota Bogor,394.59,75.54,90.78,113.30,22.66,37.77,20.39
2024,Jawa Barat,Kota Bandung,60.00,4.00,10.00,6.00,13.30,5.00,1.70
2024,Jawa Barat,Kota Cirebon,104.41,1.27,8.01,58.00,22.09,13.89,8.68
2024,Jawa Barat,Kota Cimahi,,,,,,,
2024,Jawa Barat,Kota Tasikmalaya,,,,,,,
2024,Jawa Tengah,Kab. Banyumas,330.70,10.90,70.80,54.50,27.20,27.20,27.20
2024,Jawa Tengah,Kab. Banjarnegara,15.33,14.50,10.45,5.30,5.41,3.50,1.50
2024,Jawa Tengah,Kab. Wonosobo,120.00,2.00,50.00,5.00,3.00,,5.00
2024,Jawa Tengah,Kab. Magelang,,,,,,,
2024,Jawa Tengah,Kab. Boyolali,89.41,37.26,59.61,74.51,19.37,14.90,2.98
2024,Jawa Tengah,Kab. Sukoharjo,243.13,38.11,13.87,14.91,31.22,17.00,12.49
2024,Jawa Tengah,Kab. Sragen,188.35,40.22,148.78,50.15,102.94,64.28,3.77
2024,Jawa Tengah,Kab. Rembang,,,,,,,
2024,Jawa Tengah,Kab. Pati,512.30,20.60,26.60,25.00,18.50,58.60,18.08
2024,Jawa Tengah,Kab. Kudus,239.52,14.94,90.56,25.76,30.85,14.82,20.94
2024,Jawa Tengah,Kab. Jepara,87.84,1.11,7.88,48.07,5.79,26.25,1.55
2024,Jawa Tengah,Kab. Demak,493.92,12.60,48.15,36.26,12.32,17.22,6.02
2024,Jawa Tengah,Kab. Semarang,371.00,10.00,85.00,10.00,10.00,24.00,20.00
2024,Jawa Tengah,Kab. Kendal,,,,,,,
2024,Jawa Tengah,Kab. Brebes,25.00,3.00,45.00,2.00,10.00,9.00,6.00
2024,Jawa Tengah,Kota Magelang,6.45,7.58,11.47,6.79,8.11,8.69,14.28
2024,Jawa Tengah,Kota Surakarta,148.51,74.26,2.75,74.26,3.44,0.13,54.46
2024,Jawa Tengah,Kota Salatiga,,,,,,,
2024,Jawa Tengah,Kota Semarang,72.00,0.50,2.60,8.00,9.00,6.60,1.30
2024,Jawa Tengah,Kota Tegal,67.30,4.00,16.00,28.00,33.90,30.40,6.00
2024,Daerah Istimewa Yogyakarta,Kab. Kulon Progo,,,,,,,
2024,Daerah Istimewa Yogyakarta,Kab. Bantul,324.61,0.95,12.03,53.39,40.19,,
2024,Daerah Istimewa Yogyakarta,Kab. Gunungkidul,359.00,6.20,13.00,6.60,10.80,28.00,3.60
2024,Daerah Istimewa Yogyakarta,Kab. Sleman,413.23,2.53,56.20,1.00,115.28,,13.55
2024,Daerah Istimewa Yogyakarta,Kota Yogyakarta,191.61,0.93,27.35,55.09,8.33,,17.25
2024,Jawa Timur,Kab. Pacitan,18.90,0.34,8.43,1.24,1.11,1.90,1.36
2024,Jawa Timur,Kab. Trenggalek,124.14,19.75,44.86,56.17,19.72,18.87,10.44
2024,Jawa Timur,Kab. Tulungagung,75621.82,1972.74,37153.33,27289.61,5096.25,15946.34,1315.16
2024,Jawa Timur,Kab. Blitar,92.92,,46.59,,78.51,,4.95
2024,Jawa Timur,Kab. Jember,151.00,10.00,20.00,8.00,5.00,6.00,
2024,Jawa Timur,Kab. Banyuwangi,,,,,,,
2024,Jawa Timur,Kab. Bondowoso,30.44,3.14,25.71,1.98,4.01,1.04,
2024,Jawa Timur,Kab. Situbondo,,,,,,,
2024,Jawa Timur,Kab. Probolinggo,32.09,2.09,5.59,1.97,13.84,13.25,2.68
2024,Jawa Timur,Kab. Sidoarjo,,,,,,,
2024,Jawa Timur,Kab. Mojokerto,472.17,24.79,159.35,70.83,28.33,53.12,17.71
2024,Jawa Timur,Kab. Jombang,72.30,0.40,21.20,0.90,3.10,0.90,1.20
2024,Jawa Timur,Kab. Madiun,72.99,11.57,131.16,48.20,18.29,6.54,6.94
2024,Jawa Timur,Kab. Magetan,58.12,2.63,39.58,4.01,2.62,7.98,2.22
2024,Jawa Timur,Kab. Ngawi,,,,,,,
2024,Jawa Timur,Kab. Tuban,183.84,0.70,129.00,70.89,55.95,95.62,15.00
2024,Jawa Timur,Kab. Lamongan,30.14,0.28,0.32,0.41,0.50,10.21,58.14
2024,Jawa Timur,Kab. Pamekasan,227.00,3.00,30.00,6.00,5.00,2.50,7.20
2024,Jawa Timur,Kab. Sumenep,,,,,,,
2024,Jawa Timur,Kota Blitar,69.58,0.70,2.10,1.40,1.10,0.40,1.40
2024,Jawa Timur,Kota Malang,,,,,,,
2024,Jawa Timur,Kota Probolinggo,48.85,1.25,10.46,2.65,1.48,1.47,0.72
2024,Jawa Timur,Kota Pasuruan,,,,,,,
2024,Jawa Timur,Kota Madiun,94.41,17.87,0.04,3.32,2.58,2.28,0.08
2024,Jawa Timur,Kota Surabaya,1343.76,29.53,111.68,37.59,12.18,26.75,12.98
2024,Jawa Timur,Kota Batu,,,,,,,
2024,Banten,Kab. Lebak,,,,,,,
2024,Banten,Kab. Serang,,,,,,,
2024,Banten,Kota Tangerang,1418.66,48.30,370.04,220.21,61.10,69.10,
2024,Banten,Kota Cilegon,,,,,,,
2024,Banten,Kota Serang,359.21,14.69,29.01,119.73,13.28,12.61,63.62
2024,Banten,Kota Tangerang Selatan,778.84,12.23,4.50,124.67,51.17,,34.73
2024,Bali,Kab. Jembrana,56.38,2.80,12.40,15.40,7.32,3.10,2.60
2024,Bali,Kab. Badung,281.78,1.45,29.35,102.56,31.67,48.16,4.71
2024,Bali,Kab. Gianyar,,5.04,17.20,1.74,2.20,,
2024,Bali,Kab. Klungkung,149.94,0.13,2.75,0.04,2.97,0.02,0.08
2024,Bali,Kab. Bangli,86.15,6.35,14.90,3.45,9.34,6.27,15.75
2024,Bali,Kab. Karangasem,25.00,7.00,5.00,5.00,9.00,8.00,1.00
2024,Bali,Kab. Buleleng,527.27,1.55,6.78,1.36,1.16,0.53,0.39
2024,Bali,Kota Denpasar,,,,,,,
2024,Nusa Tenggara Barat,Kab. Lombok Barat,151.70,11.03,41.73,24.00,36.00,24.00,13.00
2024,Nusa Tenggara Barat,Kab. Lombok Tengah,255.00,20.00,52.00,32.00,13.00,20.00,20.00
2024,Nusa Tenggara Barat,Kab. Lombok Timur,90.00,2.00,10.00,2.00,1.00,1.00,10.00
2024,Nusa Tenggara Barat,Kab. Sumbawa,135.86,7.84,13.07,5.23,73.15,13.07,13.07
2024,Nusa Tenggara Barat,Kab. Sumbawa Barat,7.80,0.32,2.70,0.32,0.50,0.36,
2024,Nusa Tenggara Barat,Kab. Lombok Utara,43.52,7.61,16.32,5.44,10.88,22.85,2.17
2024,Nusa Tenggara Timur,Kab. Kupang,156.00,0.26,0.37,,,,
2024,Nusa Tenggara Timur,Kab. Timor Tengah Utara,1.98,0.99,4.95,0.50,1.49,,
2024,Nusa Tenggara Timur,Kab. Flores Timur,7.13,1.25,3.56,2.67,2.14,0.53,0.53
2024,Nusa Tenggara Timur,Kab. Ngada,8.00,5.00,6.32,4.00,5.00,4.00,2.00
2024,Nusa Tenggara Timur,Kab. Manggarai,,,,,,,
2024,Nusa Tenggara Timur,Kab. Sumba Timur,22.00,12.00,20.00,13.00,9.00,7.00,1.00
2024,Nusa Tenggara Timur,Kab. Lembata,3.00,0.00,1.00,0.00,0.00,1.00,0.00
2024,Nusa Tenggara Timur,Kab. Rote Ndao,38.00,5.00,22.00,5.00,6.00,20.00,4.00
2024,Nusa Tenggara Timur,Kab. Manggarai Barat,5.00,1.00,5.00,6.00,3.00,,
