Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton)
2024,Aceh,Kab. Aceh Selatan,94.59,"34,527.10"
2024,Aceh,Kab. Aceh Tenggara,149.68,"54,634.66"
2024,Aceh,Kab. Aceh Timur,181.89,"66,389.56"
2024,Aceh,Kab. Aceh Tengah,113.08,"41,273.39"
2024,Aceh,Kab. Aceh Barat,102.55,"37,432.21"
2024,Aceh,Kab. Aceh Besar,149.14,"54,434.93"
2024,Aceh,Kab. Pidie,179.23,"65,420.41"
2024,Aceh,Kab. Aceh Utara,307.32,"112,171.80"
2024,Aceh,Kab. Simeulue,45.68,"16,673.93"
2024,Aceh,Kab. Aceh Singkil,54.90,"20,039.08"
2024,Aceh,Kab. Bireuen,161.77,"59,046.49"
2024,Aceh,Kab. Aceh Barat Daya,80.03,"29,210.59"
2024,Aceh,Kab. Gayo Lues,41.94,"15,308.98"
2024,Aceh,Kab. Aceh Jaya,50.34,"18,373.01"
2024,Aceh,Kab. Nagan Raya,70.58,"25,763.31"
2024,Aceh,Kab. Aceh Tamiang,123.64,"45,127.58"
2024,Aceh,Kab. Bener Meriah,64.03,"23,371.68"
2024,Aceh,Kab. Pidie Jaya,82.58,"30,143.46"
2024,Aceh,Kota Banda Aceh,259.40,"94,679.61"
2024,Aceh,Kota Sabang,17.41,"6,354.94"
2024,Aceh,Kota Lhokseumawe,100.03,"36,509.25"
2024,Aceh,Kota Langsa,97.37,"35,538.23"
2024,Aceh,Kota Subulussalam,48.89,"17,843.03"
2024,Sumatera Utara,Kab. Nias,58.76,"21,446.67"
2024,Sumatera Utara,Kab. Langkat,533.36,"194,674.76"
2024,Sumatera Utara,Kab. Simalungun,517.96,"189,055.40"
2024,Sumatera Utara,Kab. Dairi,132.23,"48,265.41"
2024,Sumatera Utara,Kab. Pakpak Bharat,22.07,"8,055.11"
2024,Sumatera Utara,Kota Medan,"1,731.92","632,149.41"
2024,Sumatera Barat,Kab. Pesisir Selatan,157.61,"57,526.37"
2024,Sumatera Barat,Kab. Solok,162.28,"59,233.95"
2024,Sumatera Barat,Kab. Tanah Datar,131.35,"47,943.05"
2024,Sumatera Barat,Kab. Padang Pariaman,229.58,"83,798.34"
2024,Sumatera Barat,Kab. Agam,213.88,"78,067.22"
2024,Sumatera Barat,Kab. Lima Puluh Kota,160.43,"58,558.56"
2024,Sumatera Barat,Kab. Solok Selatan,76.62,"27,964.84"
2024,Sumatera Barat,Kota Padang,660.06,"240,920.66"
2024,Sumatera Barat,Kota Solok,58.73,"21,438.24"
2024,Sumatera Barat,Kota Sawahlunto,19.15,"6,988.44"
2024,Sumatera Barat,Kota Padang Panjang,50.18,"18,317.45"
2024,Sumatera Barat,Kota Bukittinggi,132.99,"48,542.31"
2024,Sumatera Barat,Kota Payakumbuh,93.93,"34,285.94"
2024,Sumatera Barat,Kota Pariaman,40.67,"14,845.28"
2024,Riau,Kab. Bengkalis,261.14,"95,314.82"
2024,Riau,Kab. Rokan Hulu,282.75,"103,202.06"
2024,Riau,Kab. Siak,192.07,"70,104.67"
2024,Riau,Kab. Kuantan Singingi,144.23,"52,644.83"
2024,Riau,Kota Pekanbaru,"1,011.01","369,019.82"
2024,Riau,Kota Dumai,171.77,"62,696.60"
2024,Jambi,Kab. Tebo,145.18,"52,990.12"
2024,Jambi,Kota Jambi,443.56,"161,897.58"
2024,Jambi,Kota Sungai Penuh,50.86,"18,563.17"
2024,Sumatera Selatan,Kab. Ogan Komering Ulu,152.00,"55,478.83"
2024,Sumatera Selatan,Kab. Muara Enim,235.17,"85,838.07"
2024,Sumatera Selatan,Kab. Lahat,272.72,"99,542.14"
2024,Sumatera Selatan,Kab. Musi Banyuasin,282.92,"103,264.34"
2024,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,282.88,"103,250.47"
2024,Sumatera Selatan,Kab. Ogan Ilir,175.79,"64,162.47"
2024,Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,106.11,"38,730.15"
2024,Sumatera Selatan,Kab. Musi Rawas Utara,77.80,"28,398.02"
2024,Sumatera Selatan,Kota Pagar Alam,73.92,"26,980.07"
2024,Sumatera Selatan,Kota Prabumulih,101.66,"37,104.08"
2024,Bengkulu,Kab. Bengkulu Utara,185.10,"67,563.03"
2024,Bengkulu,Kab. Seluma,107.50,"39,238.60"
2024,Bengkulu,Kab. Lebong,45.66,"16,665.32"
2024,Bengkulu,Kab. Bengkulu Tengah,60.57,"22,107.87"
2024,Bengkulu,Kota Bengkulu,273.00,"99,645.77"
2024,Lampung,Kab. Lampung Utara,254.05,"92,728.83"
2024,Lampung,Kab. Tulang Bawang,173.43,"63,301.22"
2024,Lampung,Kab. Tanggamus,373.71,"136,404.50"
2024,Lampung,Kab. Lampung Timur,571.29,"208,521.22"
